event_name,date,location,lat,lon
Disaster Prevention Lecture and Heart Bond Concert,"December 25, 2023","Nagoya Congress Center, Century Hall in Nagoya",35.13164930000001,136.8983589
Kyoto Junior and Senior High School Solo Contest 2023,"December 24, 2023",,,
Kyoto Qualification for the All-Japan Ensemble Contest,"December 24, 2023",Yawata City Cultural Center,34.8746121,135.7069856
Cheering school soccer team at All-Japan High School Soccer Tournament,"December 31, 2023","Ajinomoto Field Nishigaoka in Kita, Tokyo",35.769243499999995,139.70800359999998
Christmas concert in Toyooka,"December 23, 2023",Toyooka Citizen’s Hall,35.54071999999999,134.82486699999998
The National Finals of the 36th All-Japan Marching Contest,"November 19, 2023",Ōsaka-jō Hall,34.6896386,135.5301017
Sit-down concert at the Fushiminato Festa 2023,"November 11, 2023",Fushimi Minato Park Square and Fushimi Port Park,34.927152,135.75755249999995
Biwako Brass Band Festa 2023,"November 5, 2023",Moriyama Citizen Hall,35.0634089,135.97883670000002
Broadcast of the NHK live concert program,"October 15, 2023",京都府綾部市,35.359268750000005,135.35375374999998
Concert at the 40th Kyoto Prefectural High School Comprehensive Cultural Festival,"November 4, 2023",Kyoto Concert Hall,35.050000000000004,135.76666699999998
Kyōtanabe Citizen Festival (TANAFES),"November 3, 2023","Kyōtanabe, Kyoto",34.802917,135.7606112
Stage show and parade at the “Marching Carnival in Beppu 2023” -event,"October 28, 2023",Beppu B-con Plaza,33.283178,131.4873723
Traffic Safety Week Parade,"September 30, 2023",Fushimi Ōtesuji Shopping Street,,
39th Ishikawa Marching Band Festival,"September 10, 2023","Kaga City Sports Center, Kaga",,
School festival “Tachibanasai”,"September 9, 2023",Kyoto Tachibana Junior and Senior High School,,
Parade and field show at Okazaki Park,"September 8, 2023","Okazaki Park, Kyoto",,
36th Kyoto Marching Contest,"September 3, 2023",Taiyogaoka Gymnasium,,
Participation in the Kanazawa Dream Road,"August 12, 2023",Hokkoku Shimbun building Kanazawa,,
Participation in the Kanazawa Dream Road,"August 12, 2023",Katamachi Kirara shopping mall,,
Kanazawa Dream Road,"August 13, 2023",Hokkoku Shimbun Akabane Hall,,
60th Kyoto Brass Band Competition of the 71st All-Japan Band Competition (Category A),"August 8, 2023",Kyoto Concert Hall,,
Concert at the 47th National High School Comprehensive Cultural Festival,"July 31, 2023","Hōzan Hall, Kagoshima, Kagoshima Prefecture",,
Joint concert with Kamimura Gakuen Middle/High School Brass Band,"July 30, 2023","Higashiichiki Bunka Kōryū Center, Kokeke Hall in Nagasato, Hioki City, Kagoshima Prefecture",,
Benefit concert,"January 3, 2012","Performing Arts Center at John F. Kennedy High School, La Palma, California",33.841003,-118.0403169
Atlanta Olympics,"July 19, 1996","City of Atlanta, Georgia",33.735556,-84.389444
Harrogate International Youth Bands Festival,"March 26, 1975","Harrogate, North Yorkshire, United Kingdom",53.9954652,-1.54397
Concert at National Concert Hall,"December 14, 2023",National Concert Hall in Taipei,25.0370489,121.5166611
